Symbol,Company Name,CIK Number ,,,,,
MMM,3M,66740,,,,,
AOS,A. O. Smith,91142,,,,,
ABT,Abbott Laboratories,1800,,,,,
ABBV,AbbVie,1551152,,,,,
ACN,Accenture,1467373,,,,,
ADBE,Adobe Inc.,796343,,,,,
AMD,Advanced Micro Devices,2488,,,,,
AES,AES Corporation,874761,,,,,
AFL,Aflac,4977,,,,,
A,Agilent Technologies,1090872,,,,,
APD,Air Products,2969,,,,,
ABNB,Airbnb,1559720,,,,,
AKAM,Akamai Technologies,1086222,,,,,
ALB,Albemarle Corporation,915913,,,,,
ARE,Alexandria Real Estate Equities,1035443,,,,,
ALGN,Align Technology,1097149,,,,,
ALLE,Allegion,1579241,,,,,
LNT,Alliant Energy,352541,,,,,
ALL,Allstate,899051,,,,,
GOOGL,Alphabet Inc. (Class A),1652044,,,,,
GOOG,Alphabet Inc. (Class C),1652044,,,,,
MO,Altria,764180,,,,,
AMZN,Amazon,1018724,,,,,
AMCR,Amcor,1748790,,,,,
AEE,Ameren,1002910,,,,,
AEP,American Electric Power,4904,,,,,
AXP,American Express,4962,,,,,
AIG,American International Group,5272,,,,,
AMT,American Tower,1053507,,,,,
AWK,American Water Works,1410636,,,,,
AMP,Ameriprise Financial,820027,,,,,
AME,Ametek,1037868,,,,,
AMGN,Amgen,318154,,,,,
APH,Amphenol,820313,,,,,
ADI,Analog Devices,6281,,,,,
ANSS,Ansys,1013462,,,,,
AON,Aon plc,315293,,,,,
APA,APA Corporation,1841666,,,,,
APO,Apollo Global Management,1858681,,,,,
AAPL,Apple Inc.,320193,,,,,
AMAT,Applied Materials,6951,,,,,
APTV,Aptiv,1521332,,,,,
ACGL,Arch Capital Group,947484,,,,,
ADM,Archer Daniels Midland,7084,,,,,
ANET,Arista Networks,1596532,,,,,
AJG,Arthur J. Gallagher & Co.,354190,,,,,
AIZ,Assurant,1267238,,,,,
T,AT&T,732717,,,,,
ATO,Atmos Energy,731802,,,,,
ADSK,Autodesk,769397,,,,,
ADP,Automatic Data Processing,8670,,,,,
AZO,AutoZone,866787,,,,,
AVB,AvalonBay Communities,915912,,,,,
AVY,Avery Dennison,8818,,,,,
AXON,Axon Enterprise,1069183,,,,,
BKR,Baker Hughes,1701605,,,,,
BALL,Ball Corporation,9389,,,,,
